"X1","X2","X.NULL."
"A","C",NA
"A","C",NA
"C","A",NA
"A","C",NA
"C","A",NA
NA,NA,"NULL"
"A","C",NA
NA,NA,"NULL"
"A","C",NA
"A","C",NA
